STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
12,12115,Sarasota,Sarasota County,12115,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45051,Horry,Horry County,45051,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37119,Mecklenburg,Mecklenburg County,37119,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13165,Jenkins,Jenkins County,13165,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37191,Wayne,Wayne County,37191,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37059,Davie,Davie County,37059,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45057,Lancaster,Lancaster County,45057,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12123,Taylor,Taylor County,12123,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13051,Chatham,Chatham County,13051,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12125,Union,Union County,12125,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12019,Clay,Clay County,12019,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37183,Wake,Wake County,37183,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12079,Madison,Madison County,12079,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13027,Brooks,Brooks County,13027,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45005,Allendale,Allendale County,45005,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45061,Lee,Lee County,45061,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45027,Clarendon,Clarendon County,45027,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12083,Marion,Marion County,12083,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13103,Effingham,Effingham County,13103,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12001,Alachua,Alachua County,12001,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12049,Hardee,Hardee County,12049,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12089,Nassau,Nassau County,12089,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13275,Thomas,Thomas County,13275,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45033,Dillon,Dillon County,45033,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37103,Jones,Jones County,37103,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45053,Jasper,Jasper County,45053,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45079,Richland,Richland County,45079,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37157,Rockingham,Rockingham County,37157,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13005,Bacon,Bacon County,13005,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13267,Tattnall,Tattnall County,13267,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37117,Martin,Martin County,37117,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37127,Nash,Nash County,37127,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37019,Brunswick,Brunswick County,37019,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13191,McIntosh,McIntosh County,13191,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45017,Calhoun,Calhoun County,45017,34.0,AL042024,al,4.0,000,2024080212,2024081018
13,13127,Glynn,Glynn County,13127,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37123,Montgomery,Montgomery County,37123,34.0,AL042024,al,4.0,000,2024080212,2024081018
51,51025,Brunswick,Brunswick County,51025,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37181,Vance,Vance County,37181,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45011,Barnwell,Barnwell County,45011,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45043,Georgetown,Georgetown County,45043,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12073,Leon,Leon County,12073,34.0,AL042024,al,4.0,000,2024080212,2024081018
37,37047,Columbus,Columbus County,37047,34.0,AL042024,al,4.0,000,2024080212,2024081018
45,45025,Chesterfield,Chesterfield County,45025,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12057,Hillsborough,Hillsborough County,12057,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12015,Charlotte,Charlotte County,12015,34.0,AL042024,al,4.0,000,2024080212,2024081018
51,51117,Mecklenburg,Mecklenburg County,51117,34.0,AL042024,al,4.0,000,2024080212,2024081018
12,12053,Hernando,Hernando County,12053,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12041,Gilchrist,Gilchrist County,12041,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12017,Citrus,Citrus County,12017,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12081,Manatee,Manatee County,12081,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12103,Pinellas,Pinellas County,12103,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12101,Pasco,Pasco County,12101,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12029,Dixie,Dixie County,12029,50.0,AL042024,al,4.0,000,2024080212,2024081018
13,13101,Echols,Echols County,13101,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12067,Lafayette,Lafayette County,12067,50.0,AL042024,al,4.0,000,2024080212,2024081018
12,12047,Hamilton,Hamilton County,12047,50.0,AL042024,al,4.0,000,2024080212,2024081018
