STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
37,37191,Wayne,Wayne County,37191,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12121,Suwannee,Suwannee County,12121,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12123,Taylor,Taylor County,12123,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13051,Chatham,Chatham County,13051,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12125,Union,Union County,12125,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12019,Clay,Clay County,12019,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37183,Wake,Wake County,37183,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12079,Madison,Madison County,12079,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13027,Brooks,Brooks County,13027,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45005,Allendale,Allendale County,45005,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45061,Lee,Lee County,45061,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45027,Clarendon,Clarendon County,45027,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12083,Marion,Marion County,12083,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13103,Effingham,Effingham County,13103,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12001,Alachua,Alachua County,12001,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12089,Nassau,Nassau County,12089,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45033,Dillon,Dillon County,45033,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37103,Jones,Jones County,37103,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45053,Jasper,Jasper County,45053,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45079,Richland,Richland County,45079,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13005,Bacon,Bacon County,13005,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13267,Tattnall,Tattnall County,13267,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37117,Martin,Martin County,37117,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37127,Nash,Nash County,37127,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37019,Brunswick,Brunswick County,37019,34.0,AL092022,al,9.0,000,2022092218,2022100106
