STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
28,28049,Hinds,Hinds County,28049,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28147,Walthall,Walthall County,28147,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22005,Ascension,Ascension Parish,22005,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22089,St. Charles,St. Charles Parish,22089,34.0,AL262020,al,26.0,000,2020100418,2020101118
48,48351,Newton,Newton County,48351,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22011,Beauregard,Beauregard Parish,22011,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22041,Franklin,Franklin Parish,22041,34.0,AL262020,al,26.0,000,2020100418,2020101118
28,28089,Madison,Madison County,28089,34.0,AL262020,al,26.0,000,2020100418,2020101118
22,22079,Rapides,Rapides Parish,22079,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22009,Avoyelles,Avoyelles Parish,22009,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22065,Madison,Madison Parish,22065,50.0,AL262020,al,26.0,000,2020100418,2020101118
