STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
72,72147,Vieques,Vieques Municipio,72147,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72087,Loíza,Loíza Municipio,72087,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72011,Añasco,Añasco Municipio,72011,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05123,St. Francis,St. Francis County,5123,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72041,Cidra,Cidra Municipio,72041,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22031,De Soto,De Soto Parish,22031,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22017,Caddo,Caddo Parish,22017,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72063,Gurabo,Gurabo Municipio,72063,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72065,Hatillo,Hatillo Municipio,72065,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22081,Red River,Red River Parish,22081,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72057,Guayama,Guayama Municipio,72057,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22085,Sabine,Sabine Parish,22085,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22051,Jefferson,Jefferson Parish,22051,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72143,Vega Alta,Vega Alta Municipio,72143,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48373,Polk,Polk County,48373,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22033,East Baton Rouge,East Baton Rouge Parish,22033,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48405,San Augustine,San Augustine County,48405,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05147,Woodruff,Woodruff County,5147,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72137,Toa Baja,Toa Baja Municipio,72137,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22045,Iberia,Iberia Parish,22045,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05145,White,White County,5145,34.0,AL132020,al,13.0,000,2020082000,2020082906
28,28027,Coahoma,Coahoma County,28027,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72141,Utuado,Utuado Municipio,72141,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48291,Liberty,Liberty County,48291,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48241,Jasper,Jasper County,48241,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05077,Lee,Lee County,5077,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48071,Chambers,Chambers County,48071,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48199,Hardin,Hardin County,48199,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72013,Arecibo,Arecibo Municipio,72013,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05029,Conway,Conway County,5029,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22109,Terrebonne,Terrebonne Parish,22109,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72149,Villalba,Villalba Municipio,72149,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72061,Guaynabo,Guaynabo Municipio,72061,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22013,Bienville,Bienville Parish,22013,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72017,Barceloneta,Barceloneta Municipio,72017,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05099,Nevada,Nevada County,5099,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22015,Bossier,Bossier Parish,22015,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05119,Pulaski,Pulaski County,5119,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72035,Cayey,Cayey Municipio,72035,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72015,Arroyo,Arroyo Municipio,72015,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72125,San Germán,San Germán Municipio,72125,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72031,Carolina,Carolina Municipio,72031,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05053,Grant,Grant County,5053,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72071,Isabela,Isabela Municipio,72071,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72054,Florida,Florida Municipio,72054,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05039,Dallas,Dallas County,5039,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05025,Cleveland,Cleveland County,5025,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72079,Lajas,Lajas Municipio,72079,34.0,AL132020,al,13.0,000,2020082000,2020082906
