Geographic Area,Households—Median income (dollars)—Estimate,Median income
"Coke County, Texas","40,230",40230
"Colbert County, Alabama","56,149",56149
"Cole County, Missouri","70,667",70667
"Coleman County, Texas","51,034",51034
"Coles County, Illinois","53,732",53732
"Colfax County, Nebraska","71,205",71205
"Colfax County, New Mexico","46,286",46286
"Colleton County, South Carolina","46,795",46795
"Collier County, Florida","82,011",82011
"Collin County, Texas","113,255",113255
"Collingsworth County, Texas","52,045",52045
"Colonial Heights city, Virginia","72,216",72216
"Colorado County, Texas","63,352",63352
"Colquitt County, Georgia","47,235",47235
"Columbia County, Arkansas","47,441",47441
"Columbia County, Florida","53,501",53501
"Columbia County, Georgia","92,571",92571
"Columbia County, New York","81,741",81741
"Columbia County, Oregon","83,265",83265
"Columbia County, Pennsylvania","59,457",59457
"Columbia County, Washington","68,825",68825
"Columbia County, Wisconsin","79,271",79271
"Columbiana County, Ohio","55,473",55473
"Columbus County, North Carolina","43,206",43206
"Colusa County, California","69,619",69619
"Comal County, Texas","93,744",93744
"Comanche County, Kansas","49,754",49754
"Comanche County, Oklahoma","57,150",57150
"Comanche County, Texas","57,383",57383
"Comerío Municipio, Puerto Rico","16,153",16153
"Concho County, Texas","55,750",55750
"Concordia Parish, Louisiana","38,929",38929
"Conecuh County, Alabama","39,888",39888
"Conejos County, Colorado","44,093",44093
"Contra Costa County, California","120,020",120020
"Converse County, Wyoming","79,235",79235
"Conway County, Arkansas","50,282",50282
"Cook County, Georgia","46,706",46706
"Cook County, Illinois","78,304",78304
"Cook County, Minnesota","71,937",71937
"Cooke County, Texas","66,374",66374
"Cooper County, Missouri","62,239",62239
"Coos County, New Hampshire","55,247",55247
"Coos County, Oregon","57,563",57563
"Coosa County, Alabama","52,279",52279
"Copiah County, Mississippi","46,889",46889
"Copper River Census Area, Alaska","70,606",70606
"Corozal Municipio, Puerto Rico","21,670",21670
"Corson County, South Dakota","48,125",48125
"Cortland County, New York","65,029",65029
"Coryell County, Texas","63,281",63281
"Coshocton County, Ohio","52,048",52048
"Costilla County, Colorado","34,578",34578
"Cottle County, Texas","47,625",47625
"Cotton County, Oklahoma","60,208",60208
"Cottonwood County, Minnesota","63,586",63586
"Covington city, Virginia","45,737",45737
"Covington County, Alabama","48,772",48772
"Covington County, Mississippi","40,164",40164
"Coweta County, Georgia","90,031",90031
"Cowley County, Kansas","55,726",55726
"Cowlitz County, Washington","70,912",70912
"Craig County, Oklahoma","48,018",48018
"Craig County, Virginia","66,286",66286
"Craighead County, Arkansas","55,169",55169
"Crane County, Texas","71,364",71364
"Craven County, North Carolina","61,676",61676
"Crawford County, Arkansas","56,702",56702
"Crawford County, Georgia","56,948",56948
"Crawford County, Illinois","64,163",64163
"Crawford County, Indiana","46,706",46706
"Crawford County, Iowa","61,188",61188
"Crawford County, Kansas","49,779",49779
"Crawford County, Michigan","57,998",57998
"Crawford County, Missouri","52,367",52367
"Crawford County, Ohio","52,486",52486
"Crawford County, Pennsylvania","58,734",58734
"Crawford County, Wisconsin","60,823",60823
"Creek County, Oklahoma","61,657",61657
"Crenshaw County, Alabama","48,557",48557
"Crisp County, Georgia","47,463",47463
"Crittenden County, Arkansas","51,860",51860
"Crittenden County, Kentucky","45,810",45810
"Crockett County, Tennessee","59,136",59136
"Crockett County, Texas","64,103",64103
"Crook County, Oregon","74,969",74969
"Crook County, Wyoming","68,876",68876
"Crosby County, Texas","50,268",50268
"Cross County, Arkansas","48,129",48129
"Crow Wing County, Minnesota","65,975",65975
"Crowley County, Colorado","40,685",40685
"Culberson County, Texas","35,924",35924
