STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
12,12081,Manatee,Manatee County,12081,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37139,Pasquotank,Pasquotank County,37139,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13277,Tift,Tift County,13277,34.0,AL102023,al,10.0,000,2023082612,2023090806
45,45031,Darlington,Darlington County,45031,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12069,Lake,Lake County,12069,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13283,Treutlen,Treutlen County,13283,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37163,Sampson,Sampson County,37163,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12103,Pinellas,Pinellas County,12103,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13043,Candler,Candler County,13043,34.0,AL102023,al,10.0,000,2023082612,2023090806
45,45003,Aiken,Aiken County,45003,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12037,Franklin,Franklin County,12037,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12101,Pasco,Pasco County,12101,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12119,Sumter,Sumter County,12119,34.0,AL102023,al,10.0,000,2023082612,2023090806
45,45063,Lexington,Lexington County,45063,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13081,Crisp,Crisp County,13081,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12117,Seminole,Seminole County,12117,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13023,Bleckley,Bleckley County,13023,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13033,Burke,Burke County,13033,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12007,Bradford,Bradford County,12007,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37137,Pamlico,Pamlico County,37137,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12031,Duval,Duval County,12031,34.0,AL102023,al,10.0,000,2023082612,2023090806
37,37107,Lenoir,Lenoir County,37107,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13167,Johnson,Johnson County,13167,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13303,Washington,Washington County,13303,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13091,Dodge,Dodge County,13091,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13039,Camden,Camden County,13039,34.0,AL102023,al,10.0,000,2023082612,2023090806
13,13163,Jefferson,Jefferson County,13163,34.0,AL102023,al,10.0,000,2023082612,2023090806
45,45055,Kershaw,Kershaw County,45055,34.0,AL102023,al,10.0,000,2023082612,2023090806
12,12087,Monroe,Monroe County,12087,34.0,AL102023,al,10.0,000,2023082612,2023090806
