fips_code,county,state,customers_out,run_start_time,total_customers,FIPS,total22_customers
12001,Alachua,Florida,78,2024-10-06 23:15:00,141425.0,12001,218548
12001,Alachua,Florida,82,2024-10-06 23:30:00,141425.0,12001,218548
12001,Alachua,Florida,59,2024-10-06 23:45:00,141425.0,12001,218548
12001,Alachua,Florida,41,2024-10-07 00:00:00,141425.0,12001,218548
12001,Alachua,Florida,41,2024-10-07 00:15:00,141425.0,12001,218548
12001,Alachua,Florida,43,2024-10-07 00:30:00,141425.0,12001,218548
12001,Alachua,Florida,44,2024-10-07 00:45:00,141425.0,12001,218548
12001,Alachua,Florida,28,2024-10-07 01:00:00,141425.0,12001,218548
12001,Alachua,Florida,27,2024-10-07 01:15:00,141425.0,12001,218548
12001,Alachua,Florida,18,2024-10-07 01:30:00,141425.0,12001,218548
12001,Alachua,Florida,10,2024-10-07 01:45:00,141425.0,12001,218548
12001,Alachua,Florida,19,2024-10-07 02:00:00,141425.0,12001,218548
12001,Alachua,Florida,19,2024-10-07 02:15:00,141425.0,12001,218548
12001,Alachua,Florida,19,2024-10-07 02:30:00,141425.0,12001,218548
12001,Alachua,Florida,17,2024-10-07 02:45:00,141425.0,12001,218548
12001,Alachua,Florida,19,2024-10-07 03:00:00,141425.0,12001,218548
12001,Alachua,Florida,14,2024-10-07 03:15:00,141425.0,12001,218548
12001,Alachua,Florida,14,2024-10-07 03:30:00,141425.0,12001,218548
12001,Alachua,Florida,14,2024-10-07 03:45:00,141425.0,12001,218548
12001,Alachua,Florida,10,2024-10-07 04:00:00,141425.0,12001,218548
12001,Alachua,Florida,19,2024-10-07 04:15:00,141425.0,12001,218548
12001,Alachua,Florida,19,2024-10-07 04:30:00,141425.0,12001,218548
12001,Alachua,Florida,19,2024-10-07 04:45:00,141425.0,12001,218548
12001,Alachua,Florida,19,2024-10-07 05:00:00,141425.0,12001,218548
12001,Alachua,Florida,14,2024-10-07 05:15:00,141425.0,12001,218548
12001,Alachua,Florida,14,2024-10-07 05:30:00,141425.0,12001,218548
12001,Alachua,Florida,14,2024-10-07 05:45:00,141425.0,12001,218548
12001,Alachua,Florida,14,2024-10-07 06:00:00,141425.0,12001,218548
12001,Alachua,Florida,14,2024-10-07 06:15:00,141425.0,12001,218548
12001,Alachua,Florida,14,2024-10-07 06:30:00,141425.0,12001,218548
12001,Alachua,Florida,6,2024-10-07 06:45:00,141425.0,12001,218548
12001,Alachua,Florida,6,2024-10-07 07:00:00,141425.0,12001,218548
12001,Alachua,Florida,6,2024-10-07 07:15:00,141425.0,12001,218548
12001,Alachua,Florida,6,2024-10-07 07:30:00,141425.0,12001,218548
12001,Alachua,Florida,6,2024-10-07 07:45:00,141425.0,12001,218548
12001,Alachua,Florida,6,2024-10-07 08:00:00,141425.0,12001,218548
12001,Alachua,Florida,6,2024-10-07 08:15:00,141425.0,12001,218548
12001,Alachua,Florida,6,2024-10-07 08:30:00,141425.0,12001,218548
